id,first_name,second_name,team,team_code,element_type,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
1,Petr,Cech,1,3,1,0,0,24,585,9,0.0,205.0,0.0,3,130,20.4,1,0,0,1.3,49
2,Bernd,Leno,1,3,1,0,0,35,1125,16,0.0,270.0,0.0,2,203,27.0,1,0,0,2.3,48
3,Laurent,Koscielny,1,3,2,0,0,2,159,4,1.1,44.6,9.0,0,28,5.5,0,0,1,0.2,54
4,Héctor,Bellerín,1,3,2,0,4,48,1440,21,181.5,220.4,274.0,3,261,67.4,3,0,3,7.1,54
5,Nacho,Monreal,1,3,2,1,2,37,780,11,103.1,198.4,163.0,3,166,46.4,2,0,1,1.2,54
6,Rob,Holding,1,3,2,0,0,24,806,10,28.7,187.8,14.0,5,148,23.2,1,0,1,0.5,44
7,Shkodran,Mustafi,1,3,2,2,0,47,1395,20,49.9,434.6,165.0,2,275,65.1,3,0,5,1.1,54
8,Sead,Kolasinac,1,3,2,0,3,32,695,9,192.0,108.8,74.0,6,141,37.2,1,0,1,4.3,50
10,Konstantinos,Mavropanos,1,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,47
11,Stephan,Lichtsteiner,1,3,2,0,0,8,475,8,27.3,53.4,15.0,0,40,9.6,0,0,2,0.9,45
12,Sokratis,Papastathopoulos,1,3,2,0,0,17,1028,16,16.0,214.6,15.0,1,162,24.7,1,0,6,1.2,51
13,Mesut,Özil,1,3,3,3,2,53,975,14,363.0,236.4,133.0,7,209,73.3,2,0,1,2.8,80
14,Aaron,Ramsey,1,3,3,1,6,48,678,7,249.7,231.0,214.0,1,166,69.6,3,0,0,1.0,72
15,Alex,Iwobi,1,3,3,2,3,42,841,14,173.4,196.0,267.0,0,155,63.4,0,0,0,1.1,55
16,Mohamed,Elneny,1,3,3,0,0,1,58,0,1.1,7.8,38.0,0,0,4.7,0,0,0,2.1,43
17,Granit,Xhaka,1,3,3,2,2,50,1554,22,352.1,391.6,111.0,2,270,85.7,3,0,6,2.7,53
18,Henrikh,Mkhitaryan,1,3,3,4,1,51,838,17,249.6,235.8,337.0,6,176,82.4,0,0,0,4.4,67
19,Reiss,Nelson,1,3,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,44
20,Ainsley,Maitland-Niles,1,3,3,0,0,5,160,3,16.1,37.4,44.0,0,20,9.8,0,0,0,0.2,44
21,Danny,Welbeck,1,3,4,1,1,19,146,3,56.8,73.6,66.0,3,63,19.5,0,0,0,0.5,65
22,Alexandre,Lacazette,1,3,4,6,8,87,1193,15,256.6,429.2,541.0,11,284,122.2,2,0,1,8.3,95
23,Pierre-Emerick,Aubameyang,1,3,4,13,4,121,1480,21,259.8,573.4,706.0,21,449,153.8,4,0,0,36.7,115
450,Lucas,Torreira,1,3,3,2,3,56,1353,18,174.2,318.2,130.0,6,288,62.4,3,0,4,8.0,52
