assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,3,130,100,100,1,11334,0,0,-1,1,0.0,0,0,1,-0.5,0.5,0,Petr,0.0,9,0,20.4,1,False,205.0,0,0,0,0,585,,2018-09-29T17:31:14Z,49,0,0,0,11334.jpg,3.4,0,27,Cech,1.3,False,1,a,1,3,0.0,24,80174,87,123730,492,0.0,4.9,Cech,0
0,2,203,None,None,1,80201,0,0,-2,2,0.0,0,0,1,2.3,3.3,2,Bernd,2.8,16,0,27.0,2,False,270.0,0,0,0,0,1125,,None,48,0,0,0,80201.jpg,2.7,0,37,Leno,2.3,False,19,a,1,3,0.0,35,99309,993,107979,3259,0.6,7.3,Leno,0
0,0,28,75,100,0,51507,0,0,-1,1,1.1,0,0,2,-0.2,0.8,2,Laurent,0.3,4,0,5.5,3,False,44.6,0,0,0,0,159,Knock - 75% chance of playing,2018-12-26T22:01:16Z,54,0,0,0,51507.jpg,1.0,0,0,Koscielny,0.2,False,6,d,1,3,9.0,2,8032,208,7921,686,0.1,0.4,Koscielny,1
4,3,261,0,0,3,98745,0,0,-1,1,181.5,0,0,2,0.0,0.0,0,Héctor,1.2,21,0,67.4,4,False,220.4,0,0,0,0,1440,Calf injury - Expected back 12 Jan,2018-12-16T16:01:16Z,54,1,0,0,98745.jpg,2.8,0,0,Bellerín,7.1,False,2,i,1,3,274.0,48,557750,69,985115,17335,0.2,8.9,Bellerín,3
2,3,166,75,75,2,38411,0,0,-1,1,103.1,1,0,2,0.5,1.3,0,Nacho,1.2,11,1,46.4,5,False,198.4,0,0,0,0,780,Muscle injury - 75% chance of playing,2018-12-22T14:31:17Z,54,0,0,0,38411.jpg,3.7,0,0,Monreal,1.2,False,18,d,1,3,163.0,37,208097,23,211202,4295,0.2,6.9,Monreal,1
0,5,148,0,0,1,156074,0,0,-1,1,28.7,0,0,2,0.0,0.0,0,Rob,0.3,10,0,23.2,6,False,187.8,0,0,0,0,806,Anterior cruciate ligament  - Expected back 05 Jun,2018-12-05T23:01:16Z,44,0,0,0,156074.jpg,2.4,0,0,Holding,0.5,False,16,i,1,3,14.0,24,39378,6,55434,509,0.1,5.5,Holding,1
0,2,275,75,75,3,69140,0,0,-1,1,49.9,0,0,2,1.1,1.9,0,Shkodran,2.0,20,2,65.1,7,False,434.6,0,0,0,0,1395,Hamstring injury - 75% chance of playing,2018-12-16T16:31:15Z,54,0,0,0,69140.jpg,2.9,0,0,Mustafi,1.1,False,20,d,1,3,165.0,47,77611,45,107484,1507,0.4,8.7,Mustafi,5
3,6,141,100,100,1,111457,0,0,0,0,192.0,0,0,2,2.3,3.3,1,Sead,2.8,9,0,37.2,8,False,108.8,0,0,0,0,695,,2018-12-22T12:31:16Z,50,0,0,0,111457.jpg,4.0,0,0,Kolasinac,4.3,False,31,a,1,3,74.0,32,328134,2518,116764,13814,0.6,6.4,Kolasinac,1
0,0,0,0,0,0,233963,0,0,-3,3,0.0,0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,10,False,0.0,0,0,0,0,0,Groin Injury - Expected back 29 Dec,2018-09-25T09:01:13Z,47,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.1,False,27,i,1,3,0.0,0,1155,5,9426,23,0.0,0.0,Mavropanos,0
0,0,40,100,100,0,27335,0,0,-5,5,27.3,0,0,2,0.3,1.3,2,Stephan,0.8,8,0,9.6,11,False,53.4,0,0,0,0,475,,2018-12-16T16:01:16Z,45,0,0,0,27335.jpg,1.0,0,0,Lichtsteiner,0.9,False,12,a,1,3,15.0,8,20033,296,103125,474,0.2,1.8,Lichtsteiner,2
0,1,162,100,100,1,39476,0,0,-4,4,16.0,0,0,2,1.3,2.3,2,Sokratis,1.8,16,0,24.7,12,False,214.6,0,0,0,0,1028,,2018-12-08T17:31:17Z,51,0,0,0,39476.jpg,1.4,0,0,Papastathopoulos,1.2,False,5,a,1,3,15.0,17,29672,457,107404,883,0.4,3.3,Sokratis,6
2,7,209,100,100,2,37605,0,0,-5,5,363.0,1,0,3,0.7,1.7,1,Mesut,1.2,14,3,73.3,13,False,236.4,0,0,0,0,975,,2018-12-02T13:31:15Z,80,0,0,0,37605.jpg,4.1,0,0,Özil,2.8,False,10,a,1,3,133.0,53,406866,539,559814,2819,0.1,6.6,Özil,1
6,1,166,100,100,3,41792,0,0,-3,3,249.7,0,0,3,1.0,2.0,1,Aaron,1.5,7,1,69.6,14,False,231.0,0,0,0,0,678,,2018-12-16T13:31:15Z,72,0,0,0,41792.jpg,3.0,0,0,Ramsey,1.0,False,8,a,1,3,214.0,48,157391,103,191111,805,0.2,6.7,Ramsey,0
3,0,155,100,100,0,153133,0,0,0,0,173.4,0,0,3,1.7,2.7,1,Alex,2.2,14,2,63.4,15,False,196.0,0,0,0,0,841,,2018-09-03T09:01:13Z,55,0,0,0,153133.jpg,2.6,0,0,Iwobi,1.1,False,17,a,1,3,267.0,42,144384,496,148202,1671,0.4,7.6,Iwobi,0
